%StNo BotDep	TimeJ	T090C	DepSM	PrDM	SeaTurbMtr
08 47	7.528752	4.9671	0.002	0.002	0.615
08 47	7.528753	4.9668	-0.009	-0.009	0.619
08 47	7.528753	4.9671	-0.009	-0.009	0.619
08 47	7.528754	4.9673	0.001	0.001	0.623
08 47	7.528754	4.9676	-0.009	-0.009	0.626
08 47	7.528755	4.9681	-0.022	-0.022	0.626
08 47	7.528755	4.9684	-0.009	-0.009	0.623
08 47	7.528756	4.9686	-0.011	-0.011	0.623
08 47	7.528756	4.9687	-0.022	-0.022	0.626
08 47	7.528757	4.9687	-0.009	-0.009	0.630
08 47	7.528757	4.9687	-0.035	-0.035	0.630
08 47	7.528758	4.9684	-0.009	-0.009	0.626
08 47	7.528758	4.9681	-0.045	-0.045	0.626
08 47	7.528759	4.9677	-0.022	-0.022	0.630
08 47	7.528759	4.9673	-0.035	-0.035	0.637
08 47	7.528760	4.9668	-0.033	-0.034	0.641
08 47	7.528760	4.9664	-0.022	-0.022	0.648
08 47	7.528761	4.9660	-0.045	-0.045	0.659
08 47	7.528761	4.9654	-0.024	-0.024	0.663
08 47	7.528762	4.9654	-0.045	-0.045	0.663
08 47	7.528762	4.9651	-0.033	-0.034	0.648
08 47	7.528763	4.9649	-0.024	-0.024	0.637
08 47	7.528763	4.9645	-0.033	-0.034	0.623
08 47	7.528764	4.9646	-0.033	-0.034	0.612
08 47	7.528764	4.9647	-0.022	-0.022	0.608
08 47	7.528764	4.9651	-0.035	-0.035	0.608
08 47	7.528765	4.9652	-0.022	-0.022	0.604
08 47	7.528765	4.9656	-0.022	-0.022	0.601
08 47	7.528766	4.9654	-0.022	-0.022	0.597
08 47	7.528766	4.9652	-0.024	-0.024	0.597
08 47	7.528767	4.9651	-0.022	-0.022	0.597
08 47	7.528767	4.9651	0.002	0.002	0.597
08 47	7.528768	4.9652	-0.024	-0.024	0.601
08 47	7.528768	4.9656	-0.009	-0.009	0.608
08 47	7.528769	4.9663	-0.022	-0.022	0.615
08 47	7.528769	4.9670	-0.009	-0.009	0.619
08 47	7.528770	4.9676	-0.011	-0.011	0.615
08 47	7.528770	4.9681	-0.009	-0.009	0.615
08 47	7.528771	4.9681	-0.009	-0.009	0.615
08 47	7.528771	4.9680	-0.009	-0.009	0.619
08 47	7.528772	4.9678	-0.011	-0.011	0.626
08 47	7.528772	4.9673	-0.009	-0.009	0.626
08 47	7.528773	4.9668	-0.022	-0.022	0.619
08 47	7.528773	4.9667	-0.035	-0.035	0.612
08 47	7.528774	4.9664	0.014	0.014	0.604
08 47	7.528774	4.9683	0.002	0.002	0.608
08 47	7.528775	4.9706	-0.009	-0.009	0.608
08 47	7.528775	4.9726	-0.011	-0.011	0.612
08 47	7.528776	4.9752	-0.022	-0.022	0.615
08 47	7.528776	4.9761	-0.009	-0.009	0.623
08 47	7.528777	4.9777	0.002	0.002	0.623
08 47	7.528777	4.9785	-0.011	-0.011	0.623
08 47	7.528777	4.9789	-0.009	-0.009	0.619
08 47	7.528778	4.9794	0.002	0.002	0.615
