%StNo BotDep	TimeJ	T090C	DepSM	PrDM	SeaTurbMtr
08 47	7.531325	8.6883	105.882	106.900	0.549
08 47	7.531325	8.6877	105.892	106.910	0.549
08 47	7.531326	8.6870	105.918	106.936	0.549
08 47	7.531326	8.6856	105.931	106.949	0.549
08 47	7.531327	8.6833	105.965	106.984	0.553
08 47	7.531327	8.6820	105.967	106.986	0.557
08 47	7.531328	8.6806	105.991	107.010	0.564
08 47	7.531328	8.6803	106.013	107.032	0.564
08 47	7.531329	8.6813	106.040	107.060	0.564
08 47	7.531329	8.6820	106.052	107.071	0.568
08 47	7.531330	8.6819	106.073	107.093	0.560
08 47	7.531330	8.6800	106.112	107.133	0.549
08 47	7.531331	8.6785	106.125	107.146	0.542
08 47	7.531331	8.6783	106.158	107.179	0.542
08 47	7.531332	8.6788	106.174	107.195	0.553
08 47	7.531332	8.6793	106.182	107.203	0.560
08 47	7.531332	8.6783	106.222	107.243	0.564
08 47	7.531333	8.6773	106.235	107.256	0.564
08 47	7.531333	8.6769	106.243	107.264	0.557
08 47	7.531334	8.6775	106.271	107.292	0.557
08 47	7.531334	8.6779	106.306	107.329	0.553
08 47	7.531335	8.6753	106.316	107.339	0.553
08 47	7.531335	8.6697	106.331	107.353	0.553
08 47	7.531336	8.6658	106.367	107.390	0.560
08 47	7.531336	8.6634	106.365	107.388	0.560
08 47	7.531337	8.6613	106.416	107.439	0.557
08 47	7.531337	8.6615	106.413	107.436	0.557
08 47	7.531338	8.6633	106.440	107.464	0.568
08 47	7.531338	8.6652	106.465	107.489	0.571
08 47	7.531339	8.6642	106.475	107.499	0.568
08 47	7.531339	8.6639	106.514	107.538	0.568
08 47	7.531340	8.6639	106.522	107.546	0.575
08 47	7.531340	8.6634	106.550	107.574	0.579
08 47	7.531341	8.6628	106.561	107.586	0.593
08 47	7.531341	8.6634	106.596	107.621	0.601
08 47	7.531342	8.6634	106.610	107.635	0.597
08 47	7.531342	8.6620	106.631	107.657	0.593
08 47	7.531343	8.6612	106.646	107.672	0.579
08 47	7.531343	8.6612	106.671	107.697	0.571
08 47	7.531344	8.6615	106.705	107.731	0.568
08 47	7.531344	8.6622	106.720	107.746	0.568
08 47	7.531345	8.6615	106.741	107.767	0.564
08 47	7.531345	8.6612	106.769	107.795	0.560
08 47	7.531345	8.6602	106.777	107.804	0.560
08 47	7.531346	8.6590	106.805	107.832	0.568
08 47	7.531346	8.6575	106.829	107.856	0.571
08 47	7.531347	8.6563	106.850	107.878	0.575
08 47	7.531347	8.6552	106.878	107.906	0.582
08 47	7.531348	8.6541	106.899	107.927	0.586
08 47	7.531348	8.6534	106.914	107.942	0.582
08 47	7.531349	8.6532	106.935	107.964	0.582
08 47	7.531349	8.6538	106.963	107.992	0.586
08 47	7.531350	8.6544	106.987	108.016	0.582
08 47	7.531350	8.6544	107.007	108.036	0.571
08 47	7.531351	8.6539	107.023	108.053	0.560
08 47	7.531351	8.6528	107.056	108.086	0.557
08 47	7.531352	8.6518	107.072	108.102	0.553
08 47	7.531352	8.6515	107.081	108.110	0.560
08 47	7.531353	8.6520	107.108	108.139	0.564
08 47	7.531353	8.6520	107.130	108.160	0.557
08 47	7.531354	8.6517	107.144	108.175	0.557
08 47	7.531354	8.6515	107.182	108.213	0.557
08 47	7.531355	8.6515	107.190	108.221	0.564
08 47	7.531355	8.6519	107.205	108.236	0.568
08 47	7.531356	8.6520	107.226	108.257	0.560
08 47	7.531356	8.6517	107.267	108.298	0.553
08 47	7.531357	8.6511	107.275	108.307	0.553
08 47	7.531357	8.6507	107.290	108.322	0.553
08 47	7.531358	8.6500	107.311	108.343	0.553
08 47	7.531358	8.6493	107.327	108.360	0.549
08 47	7.531359	8.6482	107.371	108.404	0.553
08 47	7.531359	8.6478	107.375	108.407	0.553
08 47	7.531359	8.6466	107.396	108.429	0.553
08 47	7.531360	8.6463	107.424	108.457	0.553
08 47	7.531360	8.6459	107.432	108.465	0.553
08 47	7.531361	8.6456	107.461	108.495	0.549
08 47	7.531361	8.6456	107.494	108.528	0.546
08 47	7.531362	8.6457	107.508	108.543	0.542
08 47	7.531362	8.6453	107.517	108.551	0.546
08 47	7.531363	8.6449	107.557	108.592	0.549
08 47	7.531363	8.6451	107.579	108.614	0.553
08 47	7.531364	8.6448	107.569	108.604	0.553
08 47	7.531364	8.6460	107.615	108.650	0.560
08 47	7.531365	8.6477	107.631	108.666	0.568
08 47	7.531365	8.6496	107.651	108.686	0.568
08 47	7.531366	8.6493	107.678	108.714	0.568
08 47	7.531366	8.6444	107.700	108.736	0.564
08 47	7.531367	8.6340	107.716	108.752	0.560
08 47	7.531367	8.6273	107.724	108.760	0.557
08 47	7.531368	8.6261	107.752	108.788	0.560
08 47	7.531368	8.6268	107.784	108.821	0.564
08 47	7.531369	8.6277	107.801	108.838	0.590
08 47	7.531369	8.6283	107.809	108.846	0.593
08 47	7.531370	8.6277	107.837	108.874	0.575
08 47	7.531370	8.6276	107.856	108.894	0.560
08 47	7.531371	8.6267	107.886	108.924	0.553
08 47	7.531371	8.6255	107.905	108.943	0.553
08 47	7.531372	8.6259	107.922	108.960	0.553
08 47	7.531372	8.6268	107.941	108.980	0.549
08 47	7.531372	8.6279	107.958	108.996	0.553
08 47	7.531373	8.6279	107.990	109.029	0.557
08 47	7.531373	8.6275	108.015	109.054	0.560
08 47	7.531374	8.6263	108.020	109.059	0.564
08 47	7.531374	8.6251	108.051	109.090	0.557
08 47	7.531375	8.6250	108.067	109.107	0.546
08 47	7.531375	8.6259	108.075	109.115	0.542
08 47	7.531376	8.6268	108.105	109.145	0.538
08 47	7.531376	8.6277	108.124	109.164	0.546
08 47	7.531377	8.6281	108.141	109.181	0.557
08 47	7.531377	8.6272	108.160	109.201	0.568
08 47	7.531378	8.6270	108.185	109.225	0.568
08 47	7.531378	8.6269	108.212	109.253	0.560
08 47	7.531379	8.6266	108.221	109.262	0.564
08 47	7.531379	8.6251	108.237	109.278	0.564
08 47	7.531380	8.6238	108.270	109.311	0.560
08 47	7.531380	8.6227	108.286	109.328	0.557
08 47	7.531381	8.6230	108.305	109.347	0.557
08 47	7.531381	8.6240	108.330	109.372	0.553
08 47	7.531382	8.6236	108.346	109.389	0.564
08 47	7.531382	8.6238	108.368	109.410	0.597
08 47	7.531383	8.6243	108.384	109.427	0.604
08 47	7.531383	8.6248	108.415	109.458	0.593
08 47	7.531384	8.6255	108.407	109.450	0.582
08 47	7.531384	8.6256	108.452	109.496	0.571
08 47	7.531385	8.6257	108.464	109.507	0.568
08 47	7.531385	8.6256	108.492	109.536	0.571
08 47	7.531386	8.6258	108.500	109.544	0.571
08 47	7.531386	8.6258	108.516	109.560	0.564
08 47	7.531386	8.6260	108.537	109.582	0.564
08 47	7.531387	8.6262	108.560	109.605	0.568
08 47	7.531387	8.6270	108.578	109.623	0.579
08 47	7.531388	8.6272	108.609	109.654	0.586
08 47	7.531388	8.6266	108.614	109.659	0.579
08 47	7.531389	8.6262	108.645	109.691	0.571
08 47	7.531389	8.6250	108.670	109.715	0.560
08 47	7.531390	8.6245	108.663	109.709	0.560
08 47	7.531390	8.6234	108.707	109.753	0.564
08 47	7.531391	8.6225	108.711	109.757	0.560
08 47	7.531391	8.6220	108.743	109.790	0.557
08 47	7.531392	8.6222	108.755	109.801	0.557
08 47	7.531392	8.6222	108.784	109.831	0.553
08 47	7.531393	8.6225	108.804	109.851	0.549
08 47	7.531393	8.6223	108.815	109.862	0.553
08 47	7.531394	8.6220	108.844	109.892	0.557
08 47	7.531394	8.6215	108.877	109.925	0.553
08 47	7.531395	8.6206	108.880	109.928	0.549
08 47	7.531395	8.6200	108.900	109.948	0.557
08 47	7.531396	8.6198	108.925	109.973	0.568
08 47	7.531396	8.6196	108.942	109.991	0.564
08 47	7.531397	8.6192	108.962	110.011	0.560
08 47	7.531397	8.6183	108.998	110.047	0.560
08 47	7.531398	8.6182	109.003	110.052	0.564
08 47	7.531398	8.6175	109.023	110.072	0.564
08 47	7.531399	8.6169	109.047	110.096	0.557
08 47	7.531399	8.6167	109.075	110.124	0.549
08 47	7.531399	8.6172	109.094	110.144	0.553
08 47	7.531400	8.6177	109.099	110.149	0.557
08 47	7.531400	8.6166	109.132	110.182	0.553
08 47	7.531401	8.6159	109.156	110.207	0.549
08 47	7.531401	8.6156	109.173	110.223	0.546
08 47	7.531402	8.6149	109.192	110.243	0.542
08 47	7.531402	8.6138	109.217	110.268	0.542
08 47	7.531403	8.6132	109.222	110.273	0.549
08 47	7.531403	8.6133	109.264	110.316	0.549
08 47	7.531404	8.6138	109.277	110.329	0.546
08 47	7.531404	8.6143	109.294	110.345	0.538
08 47	7.531405	8.6142	109.326	110.378	0.538
08 47	7.531405	8.6127	109.338	110.390	0.542
08 47	7.531406	8.6119	109.367	110.420	0.542
08 47	7.531406	8.6111	109.387	110.439	0.538
08 47	7.531407	8.6096	109.398	110.451	0.538
08 47	7.531407	8.6042	109.434	110.487	0.538
08 47	7.531408	8.5965	109.452	110.505	0.546
08 47	7.531408	8.5902	109.472	110.525	0.549
08 47	7.531409	8.5857	109.496	110.550	0.560
08 47	7.531409	8.5857	109.513	110.566	0.560
08 47	7.531410	8.5872	109.544	110.598	0.557
08 47	7.531410	8.5914	109.544	110.598	0.549
08 47	7.531411	8.5905	109.586	110.641	0.549
08 47	7.531411	8.5910	109.593	110.647	0.549
08 47	7.531412	8.5962	109.629	110.684	0.546
08 47	7.531412	8.6010	109.597	110.652	0.549
08 47	7.531413	8.6037	109.689	110.745	0.553
08 47	7.531413	8.6041	109.689	110.745	0.549
08 47	7.531413	8.6034	109.702	110.758	0.542
08 47	7.531414	8.6027	109.720	110.776	0.538
08 47	7.531414	8.5979	109.751	110.807	0.538
08 47	7.531415	8.5901	109.762	110.819	0.538
08 47	7.531415	8.5852	109.756	110.812	0.560
08 47	7.531416	8.5817	109.847	110.905	0.612
08 47	7.531416	8.5789	109.823	110.880	0.630
08 47	7.531417	8.5775	109.860	110.918	0.626
08 47	7.531417	8.5769	109.865	110.923	0.623
08 47	7.531418	8.5769	109.896	110.954	0.608
08 47	7.531418	8.5770	109.908	110.966	0.590
08 47	7.531419	8.5769	109.932	110.990	0.582
08 47	7.531419	8.5770	109.962	111.020	0.582
08 47	7.531420	8.5787	109.981	111.040	0.582
08 47	7.531420	8.5815	109.993	111.051	0.575
08 47	7.531421	8.5833	110.017	111.076	0.575
08 47	7.531421	8.5836	110.047	111.106	0.575
08 47	7.531422	8.5833	110.066	111.126	0.575
08 47	7.531422	8.5828	110.078	111.137	0.568
08 47	7.531423	8.5827	110.115	111.175	0.568
08 47	7.531423	8.5823	110.120	111.180	0.568
08 47	7.531424	8.5810	110.151	111.211	0.575
08 47	7.531424	8.5793	110.176	111.236	0.619
08 47	7.531425	8.5775	110.200	111.261	0.623
08 47	7.531425	8.5762	110.217	111.277	0.593
08 47	7.531426	8.5753	110.236	111.297	0.568
08 47	7.531426	8.5749	110.261	111.322	0.557
08 47	7.531427	8.5754	110.285	111.347	0.557
08 47	7.531427	8.5758	110.303	111.365	0.557
08 47	7.531427	8.5767	110.333	111.395	0.553
08 47	7.531428	8.5770	110.346	111.408	0.553
08 47	7.531428	8.5761	110.357	111.419	0.553
08 47	7.531429	8.5754	110.395	111.457	0.549
08 47	7.531429	8.5755	110.411	111.474	0.542
08 47	7.531430	8.5759	110.431	111.494	0.546
08 47	7.531430	8.5765	110.455	111.518	0.553
08 47	7.531431	8.5768	110.480	111.543	0.560
08 47	7.531431	8.5767	110.484	111.548	0.557
08 47	7.531432	8.5752	110.516	111.579	0.546
08 47	7.531432	8.5710	110.540	111.604	0.538
08 47	7.531433	8.5679	110.565	111.629	0.535
08 47	7.531433	8.5672	110.565	111.629	0.535
08 47	7.531434	8.5692	110.594	111.659	0.538
08 47	7.531434	8.5712	110.625	111.690	0.535
08 47	7.531435	8.5725	110.636	111.701	0.535
08 47	7.531435	8.5729	110.649	111.715	0.531
08 47	7.531436	8.5732	110.685	111.751	0.531
08 47	7.531436	8.5725	110.667	111.733	0.542
08 47	7.531437	8.5707	110.746	111.812	0.549
08 47	7.531437	8.5694	110.746	111.812	0.553
08 47	7.531438	8.5686	110.746	111.812	0.557
08 47	7.531438	8.5670	110.782	111.848	0.553
08 47	7.531439	8.5657	110.806	111.873	0.546
08 47	7.531439	8.5656	110.813	111.880	0.538
08 47	7.531440	8.5660	110.844	111.911	0.538
08 47	7.531440	8.5660	110.844	111.911	0.538
08 47	7.531440	8.5647	110.891	111.959	0.535
08 47	7.531441	8.5638	110.891	111.959	0.535
08 47	7.531441	8.5623	110.916	111.984	0.535
08 47	7.531442	8.5617	110.934	112.002	0.535
08 47	7.531442	8.5625	110.952	112.020	0.535
08 47	7.531443	8.5629	110.989	112.058	0.535
08 47	7.531443	8.5634	110.989	112.058	0.538
08 47	7.531444	8.5639	111.025	112.094	0.538
08 47	7.531444	8.5634	111.025	112.094	0.542
08 47	7.531445	8.5636	111.056	112.125	0.564
08 47	7.531445	8.5638	111.074	112.144	0.568
08 47	7.531446	8.5633	111.099	112.168	0.557
08 47	7.531446	8.5625	111.110	112.180	0.546
08 47	7.531447	8.5630	111.135	112.205	0.535
08 47	7.531447	8.5634	111.159	112.229	0.535
08 47	7.531448	8.5636	111.171	112.241	0.535
08 47	7.531448	8.5619	111.190	112.261	0.538
08 47	7.531449	8.5593	111.220	112.290	0.542
08 47	7.531449	8.5565	111.231	112.302	0.549
08 47	7.531450	8.5541	111.256	112.327	0.557
08 47	7.531450	8.5540	111.280	112.352	0.557
08 47	7.531451	8.5534	111.293	112.365	0.553
08 47	7.531451	8.5541	111.305	112.376	0.542
08 47	7.531452	8.5555	111.341	112.413	0.538
08 47	7.531452	8.5556	111.360	112.432	0.535
08 47	7.531453	8.5549	111.378	112.450	0.535
08 47	7.531453	8.5547	111.390	112.462	0.535
08 47	7.531454	8.5559	111.425	112.498	0.538
08 47	7.531454	8.5565	111.439	112.512	0.542
08 47	7.531454	8.5554	111.463	112.536	0.546
08 47	7.531455	8.5526	111.474	112.548	0.549
08 47	7.531455	8.5469	111.499	112.573	0.553
08 47	7.531456	8.5399	111.506	112.579	0.557
08 47	7.531456	8.5283	111.548	112.622	0.560
08 47	7.531457	8.5233	111.559	112.634	0.568
08 47	7.531457	8.5236	111.572	112.647	0.568
08 47	7.531458	8.5209	111.608	112.683	0.568
08 47	7.531458	8.5231	111.620	112.695	0.564
08 47	7.531459	8.5246	111.644	112.719	0.560
08 47	7.531459	8.5241	111.657	112.733	0.557
08 47	7.531460	8.5248	111.693	112.769	0.560
08 47	7.531460	8.5278	111.680	112.756	0.564
08 47	7.531461	8.5309	111.742	112.818	0.564
08 47	7.531461	8.5317	111.736	112.812	0.564
08 47	7.531462	8.5333	111.765	112.842	0.560
08 47	7.531462	8.5335	111.790	112.866	0.564
08 47	7.531463	8.5333	111.803	112.879	0.564
08 47	7.531463	8.5343	111.827	112.904	0.560
08 47	7.531464	8.5352	111.852	112.929	0.560
08 47	7.531464	8.5336	111.863	112.941	0.560
08 47	7.531465	8.5314	111.888	112.965	0.571
08 47	7.531465	8.5297	111.912	112.990	0.582
08 47	7.531466	8.5265	111.924	113.002	0.586
08 47	7.531466	8.5156	111.948	113.026	0.586
08 47	7.531467	8.5040	111.973	113.051	0.586
08 47	7.531467	8.4930	111.984	113.063	0.582
08 47	7.531467	8.4862	112.022	113.101	0.593
08 47	7.531468	8.4796	112.040	113.119	0.619
08 47	7.531468	8.4771	112.058	113.137	0.615
08 47	7.531469	8.4814	112.082	113.162	0.597
08 47	7.531469	8.4874	112.107	113.186	0.579
08 47	7.531470	8.4941	112.118	113.198	0.571
08 47	7.531470	8.5009	112.130	113.209	0.568
08 47	7.531471	8.5049	112.167	113.247	0.564
08 47	7.531471	8.5101	112.192	113.272	0.557
08 47	7.531472	8.5146	112.203	113.284	0.557
08 47	7.531472	8.5135	112.228	113.308	0.557
08 47	7.531473	8.5114	112.252	113.333	0.560
08 47	7.531473	8.5098	112.264	113.345	0.560
08 47	7.531474	8.5090	112.288	113.370	0.560
08 47	7.531474	8.5085	112.324	113.406	0.557
08 47	7.531475	8.5074	112.324	113.406	0.557
08 47	7.531475	8.5070	112.362	113.444	0.557
08 47	7.531476	8.5082	112.373	113.455	0.564
08 47	7.531476	8.5093	112.398	113.480	0.568
08 47	7.531477	8.5090	112.422	113.505	0.564
08 47	7.531477	8.5062	112.447	113.530	0.564
08 47	7.531478	8.5049	112.471	113.554	0.564
08 47	7.531478	8.5053	112.483	113.566	0.571
08 47	7.531479	8.5070	112.507	113.591	0.571
08 47	7.531479	8.5083	112.518	113.602	0.568
08 47	7.531480	8.5074	112.556	113.640	0.564
08 47	7.531480	8.5043	112.581	113.665	0.564
08 47	7.531481	8.5032	112.592	113.676	0.560
08 47	7.531481	8.5053	112.628	113.713	0.560
08 47	7.531481	8.5053	112.628	113.713	0.557
08 47	7.531482	8.5046	112.652	113.737	0.557
08 47	7.531482	8.5069	112.688	113.774	0.557
08 47	7.531483	8.5083	112.701	113.787	0.564
08 47	7.531483	8.5065	112.726	113.812	0.571
08 47	7.531484	8.5012	112.750	113.836	0.590
08 47	7.531484	8.4954	112.775	113.861	0.623
08 47	7.531485	8.4938	112.786	113.873	0.626
08 47	7.531485	8.4959	112.822	113.909	0.608
08 47	7.531486	8.4966	112.822	113.909	0.590
08 47	7.531486	8.4935	112.847	113.934	0.579
08 47	7.531487	8.4916	112.883	113.970	0.564
08 47	7.531487	8.4924	112.907	113.995	0.557
08 47	7.531488	8.4946	112.920	114.008	0.553
08 47	7.531488	8.4954	112.945	114.033	0.553
08 47	7.531489	8.4950	112.968	114.056	0.553
08 47	7.531489	8.4913	112.981	114.069	0.557
08 47	7.531490	8.4895	113.017	114.105	0.553
08 47	7.531490	8.4900	113.017	114.105	0.557
08 47	7.531491	8.4885	113.054	114.143	0.597
08 47	7.531491	8.4884	113.066	114.155	0.619
08 47	7.531492	8.4871	113.102	114.191	0.615
08 47	7.531492	8.4839	113.102	114.191	0.597
08 47	7.531493	8.4811	113.151	114.241	0.582
08 47	7.531493	8.4773	113.143	114.233	0.575
08 47	7.531494	8.4731	113.175	114.266	0.575
08 47	7.531494	8.4699	113.200	114.290	0.579
08 47	7.531495	8.4699	113.211	114.302	0.582
08 47	7.531495	8.4712	113.236	114.327	0.579
08 47	7.531495	8.4729	113.247	114.338	0.579
08 47	7.531496	8.4740	113.285	114.376	0.579
08 47	7.531496	8.4732	113.296	114.388	0.579
08 47	7.531497	8.4724	113.321	114.412	0.571
08 47	7.531497	8.4716	113.334	114.426	0.568
08 47	7.531498	8.4686	113.357	114.449	0.571
08 47	7.531498	8.4634	113.370	114.462	0.582
08 47	7.531499	8.4592	113.394	114.487	0.579
08 47	7.531499	8.4586	113.419	114.511	0.615
08 47	7.531500	8.4546	113.435	114.528	0.729
08 47	7.531500	8.4509	113.466	114.559	0.777
08 47	7.531501	8.4473	113.466	114.559	0.799
08 47	7.531501	8.4440	113.491	114.584	0.762
08 47	7.531502	8.4440	113.515	114.609	0.718
08 47	7.531502	8.4436	113.528	114.622	0.674
08 47	7.531503	8.4427	113.551	114.645	0.637
08 47	7.531503	8.4404	113.576	114.670	0.608
08 47	7.531504	8.4398	113.589	114.683	0.593
08 47	7.531504	8.4390	113.600	114.695	0.586
08 47	7.531505	8.4391	113.625	114.719	0.586
08 47	7.531505	8.4391	113.641	114.736	0.579
08 47	7.531506	8.4379	113.661	114.756	0.579
08 47	7.531506	8.4366	113.685	114.780	0.575
08 47	7.531507	8.4350	113.698	114.794	0.571
08 47	7.531507	8.4340	113.721	114.817	0.568
08 47	7.531508	8.4337	113.734	114.830	0.564
08 47	7.531508	8.4333	113.759	114.855	0.560
08 47	7.531508	8.4320	113.770	114.866	0.560
08 47	7.531509	8.4306	113.795	114.891	0.560
08 47	7.531509	8.4297	113.811	114.907	0.560
08 47	7.531510	8.4280	113.819	114.916	0.560
08 47	7.531510	8.4268	113.844	114.940	0.564
08 47	7.531511	8.4268	113.868	114.965	0.560
08 47	7.531511	8.4277	113.893	114.990	0.557
08 47	7.531512	8.4281	113.904	115.002	0.557
08 47	7.531512	8.4274	113.904	115.002	0.564
08 47	7.531513	8.4269	113.945	115.043	0.568
08 47	7.531513	8.4264	113.953	115.051	0.571
08 47	7.531514	8.4261	113.978	115.076	0.579
08 47	7.531514	8.4256	114.002	115.101	0.575
08 47	7.531515	8.4251	114.014	115.112	0.571
08 47	7.531515	8.4249	114.025	115.124	0.568
08 47	7.531516	8.4237	114.049	115.148	0.571
08 47	7.531516	8.4228	114.038	115.137	0.571
08 47	7.531517	8.4231	114.115	115.214	0.575
08 47	7.531517	8.4234	114.110	115.209	0.571
08 47	7.531518	8.4239	114.134	115.234	0.571
08 47	7.531518	8.4267	114.148	115.247	0.571
08 47	7.531519	8.4282	114.159	115.259	0.579
08 47	7.531519	8.4303	114.183	115.284	0.579
08 47	7.531520	8.4332	114.211	115.312	0.575
08 47	7.531520	8.4330	114.219	115.320	0.571
08 47	7.531521	8.4313	114.244	115.345	0.568
08 47	7.531521	8.4266	114.268	115.370	0.568
08 47	7.531522	8.4239	114.282	115.383	0.564
08 47	7.531522	8.4216	114.317	115.419	0.568
08 47	7.531522	8.4187	114.321	115.422	0.564
08 47	7.531523	8.4152	114.353	115.455	0.564
08 47	7.531523	8.4131	114.367	115.469	0.560
08 47	7.531524	8.4134	114.378	115.480	0.557
08 47	7.531524	8.4131	114.414	115.516	0.564
08 47	7.531525	8.4139	114.427	115.530	0.568
08 47	7.531525	8.4146	114.442	115.544	0.571
08 47	7.531526	8.4128	114.476	115.579	0.571
08 47	7.531526	8.4099	114.487	115.591	0.575
08 47	7.531527	8.4091	114.499	115.602	0.597
08 47	7.531527	8.4110	114.523	115.627	0.656
08 47	7.531528	8.4100	114.551	115.655	0.678
08 47	7.531528	8.4059	114.572	115.676	0.652
08 47	7.531529	8.4011	114.584	115.688	0.623
08 47	7.531529	8.3978	114.608	115.713	0.601
08 47	7.531530	8.3949	114.633	115.738	0.582
08 47	7.531530	8.3924	114.661	115.766	0.571
08 47	7.531531	8.3953	114.682	115.787	0.564
08 47	7.531531	8.4014	114.682	115.787	0.560
08 47	7.531532	8.4054	114.731	115.837	0.557
08 47	7.531532	8.4047	114.742	115.848	0.557
08 47	7.531533	8.4026	114.759	115.865	0.560
08 47	7.531533	8.4016	114.778	115.884	0.560
08 47	7.531534	8.4001	114.816	115.922	0.564
08 47	7.531534	8.3995	114.827	115.934	0.568
08 47	7.531535	8.3995	114.855	115.962	0.568
08 47	7.531535	8.4005	114.876	115.983	0.568
08 47	7.531535	8.4012	114.901	116.008	0.564
08 47	7.531536	8.4017	114.912	116.020	0.560
08 47	7.531536	8.4020	114.912	116.020	0.564
08 47	7.531537	8.4021	114.989	116.097	0.571
08 47	7.531537	8.4022	114.986	116.094	0.579
08 47	7.531538	8.4031	115.010	116.119	0.579
08 47	7.531538	8.4052	115.022	116.130	0.579
08 47	7.531539	8.4047	115.050	116.158	0.575
08 47	7.531539	8.4027	115.071	116.180	0.579
08 47	7.531540	8.3990	115.082	116.191	0.579
08 47	7.531540	8.3978	115.120	116.229	0.579
08 47	7.531541	8.3996	115.135	116.244	0.579
08 47	7.531541	8.4019	115.156	116.266	0.571
08 47	7.531542	8.4034	115.192	116.302	0.568
08 47	7.531542	8.4039	115.192	116.302	0.571
08 47	7.531543	8.4036	115.220	116.330	0.575
08 47	7.531543	8.4032	115.254	116.365	0.575
08 47	7.531544	8.4030	115.265	116.376	0.575
08 47	7.531544	8.4028	115.280	116.391	0.575
08 47	7.531545	8.4023	115.314	116.426	0.579
08 47	7.531545	8.4020	115.326	116.437	0.575
08 47	7.531546	8.4013	115.350	116.462	0.571
08 47	7.531546	8.4003	115.378	116.490	0.575
08 47	7.531547	8.4004	115.399	116.512	0.586
08 47	7.531547	8.4008	115.411	116.523	0.590
08 47	7.531548	8.4002	115.435	116.548	0.586
08 47	7.531548	8.3995	115.463	116.576	0.593
08 47	7.531549	8.4004	115.471	116.584	0.608
08 47	7.531549	8.4001	115.496	116.609	0.615
08 47	7.531549	8.3993	115.524	116.637	0.608
08 47	7.531550	8.3983	115.533	116.647	0.604
08 47	7.531550	8.3953	115.569	116.683	0.597
08 47	7.531551	8.3929	115.584	116.698	0.597
08 47	7.531551	8.3853	115.594	116.708	0.593
08 47	7.531552	8.3770	115.630	116.744	0.590
08 47	7.531552	8.3741	115.643	116.758	0.586
08 47	7.531553	8.3772	115.669	116.784	0.575
08 47	7.531553	8.3805	115.679	116.794	0.571
08 47	7.531554	8.3832	115.703	116.819	0.568
08 47	7.531554	8.3840	115.718	116.833	0.571
08 47	7.531555	8.3812	115.739	116.855	0.582
08 47	7.531555	8.3805	115.764	116.880	0.586
08 47	7.531556	8.3800	115.790	116.906	0.582
08 47	7.531556	8.3786	115.800	116.916	0.579
08 47	7.531557	8.3780	115.837	116.954	0.575
08 47	7.531557	8.3767	115.839	116.956	0.579
08 47	7.531558	8.3733	115.860	116.977	0.582
08 47	7.531558	8.3688	115.885	117.002	0.579
08 47	7.531559	8.3661	115.899	117.017	0.579
08 47	7.531559	8.3628	115.934	117.051	0.579
08 47	7.531560	8.3610	115.945	117.063	0.579
08 47	7.531560	8.3601	115.960	117.078	0.575
08 47	7.531561	8.3601	115.983	117.101	0.571
08 47	7.531561	8.3611	116.007	117.126	0.568
08 47	7.531562	8.3592	116.022	117.140	0.568
08 47	7.531562	8.3572	116.043	117.162	0.571
08 47	7.531562	8.3553	116.068	117.187	0.571
08 47	7.531563	8.3552	116.082	117.202	0.560
08 47	7.531563	8.3518	116.104	117.223	0.557
08 47	7.531564	8.3479	116.128	117.248	0.557
08 47	7.531564	8.3459	116.143	117.263	0.568
08 47	7.531565	8.3441	116.153	117.272	0.579
08 47	7.531565	8.3440	116.177	117.297	0.579
08 47	7.531566	8.3441	116.203	117.324	0.575
08 47	7.531566	8.3444	116.226	117.347	0.568
08 47	7.531567	8.3452	116.238	117.358	0.568
08 47	7.531567	8.3463	116.264	117.385	0.568
08 47	7.531568	8.3496	116.287	117.408	0.571
08 47	7.531568	8.3528	116.301	117.423	0.575
08 47	7.531569	8.3547	116.323	117.444	0.575
08 47	7.531569	8.3558	116.334	117.456	0.582
08 47	7.531570	8.3553	116.362	117.484	0.579
08 47	7.531570	8.3528	116.383	117.505	0.571
08 47	7.531571	8.3495	116.396	117.518	0.568
08 47	7.531571	8.3491	116.409	117.532	0.571
08 47	7.531572	8.3465	116.444	117.566	0.575
08 47	7.531572	8.3364	116.447	117.570	0.571
08 47	7.531573	8.3252	116.481	117.604	0.568
08 47	7.531573	8.3184	116.506	117.629	0.557
08 47	7.531574	8.3112	116.519	117.642	0.553
08 47	7.531574	8.3050	116.530	117.654	0.553
08 47	7.531575	8.3056	116.556	117.680	0.553
08 47	7.531575	8.3072	116.578	117.702	0.553
08 47	7.531576	8.3063	116.602	117.726	0.549
08 47	7.531576	8.3072	116.617	117.741	0.553
08 47	7.531576	8.3087	116.638	117.763	0.557
08 47	7.531577	8.3123	116.641	117.766	0.553
08 47	7.531577	8.3162	116.687	117.812	0.546
08 47	7.531578	8.3230	116.700	117.825	0.542
08 47	7.531578	8.3303	116.713	117.839	0.542
08 47	7.531579	8.3351	116.736	117.862	0.553
08 47	7.531579	8.3373	116.762	117.888	0.564
08 47	7.531580	8.3380	116.772	117.898	0.564
08 47	7.531580	8.3381	116.797	117.923	0.564
08 47	7.531581	8.3372	116.823	117.949	0.560
08 47	7.531581	8.3371	116.846	117.972	0.557
08 47	7.531582	8.3365	116.847	117.974	0.549
08 47	7.531582	8.3348	116.882	118.009	0.546
08 47	7.531583	8.3345	116.908	118.035	0.546
