%StNo BotDep	DepSM	Potemp090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
08 47	-0.024	4.9402	28.0191	22.1518	2.5641e-01	0.4361	0.608	1461.60	81.096	6.0192	7.528695
08 47	-0.009	4.9402	28.0170	22.1501	2.5641e-01	0.4349	0.608	1461.60	81.014	6.0131	7.528696
08 47	-0.009	4.9401	28.0138	22.1476	2.5641e-01	0.4349	0.604	1461.59	80.990	6.0115	7.528696
08 47	-0.009	4.9413	28.0080	22.1428	2.5641e-01	0.4349	0.604	1461.59	80.915	6.0060	7.528696
08 47	-0.011	4.9440	28.0060	22.1410	2.5641e-01	0.4361	0.601	1461.60	80.836	5.9998	7.528697
08 47	-0.009	4.9470	27.9991	22.1353	2.8083e-01	0.4337	0.604	1461.60	80.754	5.9935	7.528697
08 47	-0.009	4.9490	27.9920	22.1294	3.0525e-01	0.4337	0.604	1461.60	80.731	5.9918	7.528698
08 47	-0.024	4.9501	27.9861	22.1246	2.9304e-01	0.4337	0.604	1461.60	80.588	5.9813	7.528698
08 47	-0.009	4.9522	27.9729	22.1141	2.8083e-01	0.4324	0.604	1461.59	80.569	5.9801	7.528699
08 47	-0.022	4.9541	27.9671	22.1092	2.8083e-01	0.4337	0.604	1461.59	80.493	5.9744	7.528699
08 47	-0.022	4.9557	27.9617	22.1048	2.8083e-01	0.4337	0.604	1461.59	80.415	5.9687	7.528700
08 47	-0.024	4.9575	27.9535	22.0982	2.8083e-01	0.4324	0.604	1461.59	80.273	5.9582	7.528700
08 47	-0.009	4.9593	27.9570	22.1008	2.6862e-01	0.4337	0.608	1461.60	80.248	5.9560	7.528701
08 47	-0.022	4.9599	27.9575	22.1011	2.6862e-01	0.4324	0.612	1461.60	80.114	5.9459	7.528701
08 47	-0.033	4.9595	27.9580	22.1015	2.6862e-01	0.4349	0.612	1461.60	80.035	5.9400	7.528702
08 47	-0.024	4.9594	27.9677	22.1092	2.6862e-01	0.4349	0.608	1461.61	79.956	5.9338	7.528702
08 47	-0.022	4.9597	27.9712	22.1120	2.6862e-01	0.4361	0.608	1461.62	79.941	5.9326	7.528703
08 47	-0.022	4.9597	27.9765	22.1162	2.6862e-01	0.4349	0.608	1461.63	79.811	5.9226	7.528703
08 47	-0.024	4.9601	27.9846	22.1225	2.6862e-01	0.4373	0.612	1461.64	79.736	5.9167	7.528704
08 47	-0.022	4.9599	27.9885	22.1257	2.6862e-01	0.4337	0.608	1461.64	79.663	5.9112	7.528704
08 47	-0.022	4.9599	27.9922	22.1285	2.6862e-01	0.4337	0.608	1461.65	79.593	5.9058	7.528705
08 47	-0.022	4.9597	27.9918	22.1282	2.6862e-01	0.4324	0.608	1461.64	79.517	5.9002	7.528705
08 47	-0.024	4.9591	27.9866	22.1242	2.6862e-01	0.4337	0.608	1461.64	79.443	5.8951	7.528706
08 47	-0.009	4.9589	27.9874	22.1249	2.5641e-01	0.4324	0.608	1461.64	79.373	5.8899	7.528706
08 47	-0.022	4.9583	27.9842	22.1224	2.5641e-01	0.4324	0.612	1461.63	79.306	5.8851	7.528707
08 47	-0.009	4.9579	27.9777	22.1173	2.5641e-01	0.4324	0.615	1461.62	79.181	5.8761	7.528707
08 47	-0.011	4.9574	27.9741	22.1145	2.5641e-01	0.4312	0.615	1461.61	79.114	5.8714	7.528708
08 47	-0.009	4.9574	27.9674	22.1092	2.6862e-01	0.4324	0.615	1461.60	79.052	5.8670	7.528708
08 47	-0.009	4.9576	27.9638	22.1063	2.5641e-01	0.4324	0.615	1461.60	78.987	5.8623	7.528709
08 47	0.001	4.9575	27.9620	22.1049	2.5641e-01	0.4312	0.615	1461.60	78.864	5.8532	7.528709
08 47	-0.009	4.9571	27.9535	22.0982	2.6862e-01	0.4300	0.615	1461.59	78.801	5.8490	7.528709
08 47	-0.009	4.9557	27.9536	22.0984	2.5641e-01	0.4312	0.619	1461.58	78.682	5.8403	7.528710
08 47	-0.009	4.9538	27.9554	22.1000	2.6862e-01	0.4324	0.619	1461.57	78.678	5.8403	7.528710
08 47	-0.011	4.9531	27.9502	22.0960	2.5641e-01	0.4337	0.626	1461.56	78.618	5.8361	7.528711
