%StNo BotDep	DepSM	Potemp090C	Sal00	Sigma-t00	FlSP	WetStar	SeaTurbMtr	SvCM	Sbeox0PS	Sbeox0ML/L	TimeJ
08 47	11.455	8.3271	31.2396	24.2749	1.9536e-01	0.2933	0.546	1479.25	69.105	4.6394	7.347070
08 47	11.479	8.3325	31.2455	24.2788	1.8315e-01	0.2920	0.549	1479.28	68.974	4.6298	7.347071
08 47	11.479	8.3417	31.2525	24.2829	1.8315e-01	0.2933	0.557	1479.32	68.787	4.6161	7.347071
08 47	11.514	8.3615	31.2650	24.2899	1.8315e-01	0.2945	0.553	1479.42	68.662	4.6053	7.347072
08 47	11.539	8.3874	31.2816	24.2991	1.8315e-01	0.2933	0.557	1479.53	68.483	4.5901	7.347072
08 47	11.539	8.3970	31.2950	24.3082	1.8315e-01	0.2957	0.553	1479.59	68.296	4.5762	7.347073
08 47	11.561	8.4129	31.2980	24.3082	1.8315e-01	0.2957	0.549	1479.65	68.172	4.5661	7.347073
08 47	11.586	8.4351	31.2944	24.3022	1.8315e-01	0.2933	0.549	1479.73	67.926	4.5475	7.347074
08 47	11.617	8.4441	31.2828	24.2917	1.8315e-01	0.2957	0.546	1479.75	67.796	4.5382	7.347074
08 47	11.621	8.4346	31.2640	24.2784	1.8315e-01	0.2945	0.546	1479.69	67.612	4.5274	7.347075
08 47	11.646	8.4103	31.2546	24.2746	1.8315e-01	0.2933	0.542	1479.59	67.422	4.5174	7.347075
08 47	11.657	8.4021	31.2648	24.2838	1.8315e-01	0.2920	0.542	1479.57	67.235	4.5055	7.347076
08 47	11.681	8.4145	31.2646	24.2818	1.8315e-01	0.2908	0.546	1479.62	67.108	4.4957	7.347076
08 47	11.706	8.4058	31.2396	24.2635	1.8315e-01	0.2920	0.542	1479.55	66.920	4.4848	7.347077
08 47	11.730	8.3715	31.2227	24.2553	1.8315e-01	0.2920	0.542	1479.40	66.733	4.4762	7.347077
08 47	11.753	8.3644	31.2412	24.2708	1.8315e-01	0.2884	0.542	1479.40	66.546	4.4638	7.347078
08 47	11.766	8.3967	31.2862	24.3013	1.8315e-01	0.2908	0.538	1479.58	66.306	4.4432	7.347078
08 47	11.790	8.4265	31.3281	24.3298	1.8315e-01	0.2896	0.531	1479.74	66.241	4.4346	7.347079
08 47	11.796	8.4494	31.3408	24.3364	1.8315e-01	0.2908	0.531	1479.85	66.126	4.4242	7.347079
08 47	11.861	8.4711	31.3330	24.3271	1.8315e-01	0.2933	0.531	1479.92	65.900	4.4072	7.347079
08 47	11.837	8.4812	31.3264	24.3204	1.8315e-01	0.2933	0.535	1479.95	65.726	4.3947	7.347080
08 47	11.872	8.4851	31.3260	24.3196	1.8315e-01	0.2908	0.538	1479.96	65.610	4.3867	7.347080
08 47	11.897	8.4909	31.3277	24.3200	1.8315e-01	0.2933	0.538	1479.99	65.447	4.3752	7.347081
08 47	11.921	8.4845	31.3282	24.3214	1.8315e-01	0.2933	0.535	1479.96	65.275	4.3642	7.347081
08 47	11.932	8.4674	31.3229	24.3197	1.8315e-01	0.2945	0.531	1479.89	65.161	4.3585	7.347082
08 47	11.968	8.4608	31.3237	24.3213	1.8315e-01	0.2933	0.524	1479.87	65.002	4.3484	7.347082
08 47	11.981	8.4648	31.3257	24.3223	1.8315e-01	0.2969	0.524	1479.89	64.844	4.3374	7.347083
08 47	12.028	8.4635	31.3238	24.3210	1.8315e-01	0.2957	0.527	1479.88	64.686	4.3270	7.347083
08 47	12.004	8.4550	31.3135	24.3142	1.8315e-01	0.2933	0.546	1479.84	64.587	4.3215	7.347084
08 47	12.064	8.4399	31.2970	24.3035	1.8315e-01	0.2933	0.579	1479.76	64.435	4.3133	7.347084
08 47	12.064	8.4222	31.2863	24.2977	1.8315e-01	0.2908	0.593	1479.68	64.283	4.3051	7.347085
08 47	12.112	8.4090	31.2851	24.2986	1.8315e-01	0.2908	0.582	1479.63	64.187	4.3000	7.347085
08 47	12.123	8.4119	31.2787	24.2932	1.8315e-01	0.2896	0.564	1479.63	64.101	4.2941	7.347086
08 47	12.132	8.4054	31.2669	24.2849	1.8315e-01	0.2908	0.549	1479.59	63.960	4.2856	7.347086
08 47	12.172	8.4063	31.2773	24.2930	1.8315e-01	0.2920	0.542	1479.61	63.822	4.2760	7.347087
08 47	12.196	8.4299	31.3039	24.3103	1.8315e-01	0.2920	0.538	1479.73	63.688	4.2641	7.347087
08 47	12.232	8.4494	31.3117	24.3136	1.8315e-01	0.2908	0.538	1479.82	63.617	4.2572	7.347088
08 47	12.243	8.4379	31.3159	24.3186	1.8315e-01	0.2884	0.538	1479.78	63.482	4.2491	7.347088
08 47	12.255	8.4273	31.3148	24.3193	1.8315e-01	0.2884	0.535	1479.74	63.409	4.2453	7.347089
08 47	12.303	8.4281	31.3042	24.3109	1.8315e-01	0.2908	0.531	1479.73	63.286	4.2373	7.347089
08 47	12.303	8.4201	31.2870	24.2985	1.8315e-01	0.2908	0.527	1479.68	63.217	4.2339	7.347090
08 47	12.328	8.3960	31.2686	24.2876	1.8315e-01	0.2920	0.524	1479.56	63.093	4.2284	7.347090
08 47	12.363	8.3716	31.2585	24.2833	1.8315e-01	0.2908	0.520	1479.46	63.032	4.2269	7.347091
08 47	12.375	8.3652	31.2618	24.2868	1.8315e-01	0.2933	0.527	1479.44	62.922	4.2201	7.347091
08 47	12.410	8.3787	31.2813	24.3001	1.8315e-01	0.2908	0.527	1479.52	62.879	4.2154	7.347092
08 47	12.434	8.4072	31.2892	24.3022	1.8315e-01	0.2896	0.527	1479.63	62.787	4.2062	7.347092
08 47	12.470	8.4061	31.2857	24.2995	1.8315e-01	0.2884	0.524	1479.63	62.746	4.2037	7.347092
08 47	12.494	8.4013	31.3051	24.3154	1.8315e-01	0.2884	0.516	1479.63	62.653	4.1974	7.347093
08 47	12.506	8.4225	31.3256	24.3284	1.8315e-01	0.2884	0.513	1479.74	62.620	4.1927	7.347093
08 47	12.530	8.4292	31.3164	24.3203	1.8315e-01	0.2884	0.513	1479.75	62.588	4.1901	7.347094
08 47	12.566	8.4276	31.2954	24.3040	1.8315e-01	0.2908	0.513	1479.72	62.501	4.1850	7.347094
08 47	12.579	8.4305	31.2933	24.3019	1.8315e-01	0.2896	0.516	1479.73	62.411	4.1787	7.347095
08 47	12.601	8.4368	31.3067	24.3115	1.8315e-01	0.2908	0.516	1479.77	62.384	4.1760	7.347095
08 47	12.639	8.4453	31.3310	24.3293	1.8315e-01	0.2920	0.513	1479.83	62.299	4.1689	7.347096
08 47	12.650	8.4567	31.3624	24.3523	1.8315e-01	0.2920	0.513	1479.91	62.270	4.1650	7.347096
08 47	12.674	8.4828	31.3681	24.3529	1.8315e-01	0.2920	0.509	1480.02	62.192	4.1572	7.347097
08 47	12.699	8.4997	31.3563	24.3411	1.8315e-01	0.2908	0.513	1480.07	62.100	4.1498	7.347097
08 47	12.721	8.5126	31.3490	24.3335	1.8315e-01	0.2896	0.520	1480.11	62.070	4.1468	7.347098
08 47	12.734	8.5212	31.3446	24.3288	1.8315e-01	0.2884	0.520	1480.14	62.042	4.1442	7.347098
08 47	12.757	8.5103	31.3358	24.3235	1.8315e-01	0.2871	0.516	1480.08	61.950	4.1393	7.347099
08 47	12.781	8.4934	31.3308	24.3221	1.8315e-01	0.2871	0.513	1480.02	61.914	4.1386	7.347099
08 47	12.805	8.4866	31.3305	24.3228	1.8315e-01	0.2859	0.513	1479.99	61.826	4.1334	7.347100
08 47	12.830	8.4849	31.3261	24.3197	1.8315e-01	0.2859	0.513	1479.98	61.795	4.1315	7.347100
08 47	12.852	8.4739	31.3222	24.3182	1.8315e-01	0.2847	0.509	1479.93	61.702	4.1265	7.347101
08 47	12.877	8.4690	31.3195	24.3168	1.8315e-01	0.2871	0.509	1479.91	61.665	4.1246	7.347101
08 47	12.890	8.4518	31.3042	24.3073	1.8315e-01	0.2859	0.513	1479.83	61.559	4.1195	7.347102
08 47	12.912	8.4208	31.2883	24.2994	1.8315e-01	0.2884	0.516	1479.69	61.460	4.1161	7.347102
08 47	12.925	8.3975	31.2822	24.2981	1.8315e-01	0.2896	0.520	1479.60	61.424	4.1160	7.347103
08 47	12.950	8.3834	31.3003	24.3143	1.8315e-01	0.2908	0.524	1479.57	61.322	4.1100	7.347103
08 47	12.972	8.4022	31.3242	24.3303	1.8315e-01	0.2896	0.524	1479.67	61.219	4.1007	7.347104
08 47	12.985	8.4344	31.3430	24.3403	1.8315e-01	0.2884	0.531	1479.81	61.119	4.0905	7.347104
08 47	13.008	8.4605	31.3485	24.3408	1.8315e-01	0.2859	0.535	1479.92	61.073	4.0849	7.347105
08 47	13.032	8.4786	31.3471	24.3370	1.8315e-01	0.2859	0.535	1479.98	61.027	4.0803	7.347105
08 47	13.056	8.4901	31.3485	24.3364	1.8315e-01	0.2823	0.538	1480.03	60.866	4.0684	7.347106
08 47	13.081	8.4991	31.3493	24.3358	1.8315e-01	0.2859	0.542	1480.06	60.814	4.0641	7.347106
08 47	13.092	8.5030	31.3453	24.3320	1.8315e-01	0.2859	0.549	1480.07	60.701	4.0562	7.347106
08 47	13.133	8.4933	31.3176	24.3118	1.8315e-01	0.2859	0.560	1480.00	60.579	4.0498	7.347107
08 47	13.128	8.4279	31.2607	24.2768	1.8315e-01	0.2871	0.568	1479.69	60.451	4.0486	7.347107
08 47	13.163	8.3359	31.2400	24.2740	1.8315e-01	0.2871	0.575	1479.32	60.373	4.0524	7.347108
08 47	13.176	8.3008	31.2898	24.3180	1.7094e-01	0.2823	0.579	1479.24	60.244	4.0456	7.347108
08 47	13.188	8.3473	31.3359	24.3474	1.8315e-01	0.2835	0.582	1479.48	60.190	4.0365	7.347109
08 47	13.212	8.4054	31.3570	24.3555	1.8315e-01	0.2835	0.590	1479.72	60.084	4.0236	7.347109
08 47	13.236	8.4465	31.3683	24.3584	1.8315e-01	0.2835	0.590	1479.89	59.970	4.0119	7.347110
08 47	13.248	8.4774	31.3806	24.3634	1.8315e-01	0.2823	0.597	1480.02	59.788	3.9966	7.347110
08 47	13.259	8.5122	31.3831	24.3603	1.7094e-01	0.2823	0.604	1480.16	59.716	3.9886	7.347111
08 47	13.296	8.5434	31.3763	24.3504	1.7094e-01	0.2798	0.612	1480.27	59.652	3.9818	7.347111
08 47	13.308	8.5575	31.3699	24.3433	1.7094e-01	0.2798	0.626	1480.31	59.525	3.9722	7.347112
08 47	13.343	8.5640	31.3817	24.3515	1.7094e-01	0.2798	0.630	1480.35	59.399	3.9629	7.347112
08 47	13.356	8.5758	31.3920	24.3578	1.7094e-01	0.2823	0.630	1480.41	59.268	3.9528	7.347113
08 47	13.379	8.5855	31.3960	24.3595	1.7094e-01	0.2786	0.626	1480.45	59.200	3.9473	7.347113
08 47	13.403	8.5936	31.3995	24.3611	1.7094e-01	0.2786	0.623	1480.49	59.071	3.9380	7.347114
08 47	13.403	8.5995	31.4030	24.3629	1.8315e-01	0.2786	0.623	1480.51	58.944	3.9289	7.347114
08 47	13.419	8.6051	31.4073	24.3654	1.7094e-01	0.2774	0.623	1480.54	58.873	3.9235	7.347115
08 47	13.463	8.6102	31.4153	24.3710	1.8315e-01	0.2786	0.623	1480.57	58.750	3.9147	7.347115
08 47	13.474	8.6173	31.4265	24.3787	1.8315e-01	0.2798	0.623	1480.61	58.621	3.9052	7.347116
08 47	13.499	8.6291	31.4364	24.3846	1.7094e-01	0.2798	0.641	1480.67	58.495	3.8955	7.347116
08 47	13.510	8.6429	31.4445	24.3890	1.7094e-01	0.2810	0.659	1480.73	58.365	3.8855	7.347117
08 47	13.534	8.6597	31.4433	24.3855	1.8315e-01	0.2823	0.656	1480.79	58.299	3.8796	7.347117
08 47	13.547	8.6738	31.4474	24.3866	1.7094e-01	0.2823	0.626	1480.85	58.180	3.8704	7.347118
08 47	13.570	8.6878	31.4522	24.3883	1.7094e-01	0.2810	0.597	1480.91	58.057	3.8609	7.347118
08 47	13.594	8.6977	31.4524	24.3870	1.7094e-01	0.2823	0.579	1480.95	57.990	3.8555	7.347119
08 47	13.607	8.7045	31.4561	24.3888	1.7094e-01	0.2786	0.568	1480.98	57.870	3.8469	7.347119
08 47	13.630	8.7156	31.4627	24.3923	1.8315e-01	0.2798	0.564	1481.03	57.808	3.8416	7.347120
08 47	13.646	8.7277	31.4643	24.3918	1.8315e-01	0.2810	0.564	1481.07	57.693	3.8330	7.347120
08 47	13.679	8.7355	31.4650	24.3911	1.8315e-01	0.2810	0.560	1481.10	57.574	3.8243	7.347120
08 47	13.690	8.7462	31.4698	24.3933	1.7094e-01	0.2798	0.560	1481.15	57.511	3.8192	7.347121
08 47	13.703	8.7536	31.4768	24.3977	1.8315e-01	0.2786	0.553	1481.19	57.396	3.8107	7.347121
08 47	13.725	8.7607	31.4868	24.4044	1.7094e-01	0.2786	0.542	1481.23	57.284	3.8024	7.347122
08 47	13.738	8.7671	31.5014	24.4149	1.8315e-01	0.2786	0.535	1481.27	57.228	3.7978	7.347122
08 47	13.763	8.7821	31.5115	24.4205	1.7094e-01	0.2774	0.531	1481.34	57.183	3.7933	7.347123
08 47	13.785	8.8037	31.5110	24.4169	1.7094e-01	0.2774	0.527	1481.42	57.081	3.7847	7.347123
08 47	13.798	8.8131	31.5170	24.4201	1.7094e-01	0.2762	0.531	1481.46	57.040	3.7810	7.347124
08 47	13.813	8.8200	31.5270	24.4270	1.7094e-01	0.2749	0.531	1481.50	56.940	3.7736	7.347124
08 47	13.845	8.8223	31.5237	24.4240	1.7094e-01	0.2749	0.535	1481.50	56.903	3.7710	7.347125
08 47	13.858	8.8239	31.5186	24.4198	1.7094e-01	0.2749	0.535	1481.50	56.867	3.7686	7.347125
08 47	13.881	8.8308	31.5206	24.4203	1.7094e-01	0.2749	0.531	1481.53	56.774	3.7618	7.347126
08 47	13.905	8.8360	31.5172	24.4169	1.7094e-01	0.2737	0.527	1481.55	56.744	3.7595	7.347126
08 47	13.905	8.8313	31.5069	24.4095	1.7094e-01	0.2725	0.524	1481.52	56.653	3.7541	7.347127
08 47	13.941	8.8214	31.4890	24.3970	1.7094e-01	0.2725	0.527	1481.46	56.617	3.7530	7.347127
08 47	13.954	8.8059	31.4779	24.3906	1.7094e-01	0.2737	0.527	1481.39	56.582	3.7522	7.347128
08 47	13.968	8.7866	31.4854	24.3994	1.7094e-01	0.2749	0.531	1481.33	56.555	3.7519	7.347128
08 47	14.001	8.7693	31.4978	24.4117	1.7094e-01	0.2737	0.531	1481.28	56.476	3.7478	7.347129
08 47	13.990	8.7663	31.5200	24.4296	1.7094e-01	0.2737	0.527	1481.29	56.387	3.7416	7.347129
08 47	14.037	8.7811	31.5555	24.4551	1.7094e-01	0.2762	0.531	1481.39	56.364	3.7379	7.347130
08 47	14.049	8.7969	31.5670	24.4617	1.7094e-01	0.2762	0.531	1481.47	56.403	3.7390	7.347130
08 47	14.085	8.7930	31.5527	24.4511	1.7094e-01	0.2749	0.531	1481.43	56.325	3.7344	7.347131
08 47	14.085	8.7616	31.5287	24.4371	1.7094e-01	0.2774	0.527	1481.29	56.297	3.7358	7.347131
08 47	14.113	8.7189	31.5201	24.4368	1.7094e-01	0.2786	0.524	1481.12	56.276	3.7382	7.347132
08 47	14.145	8.7056	31.5284	24.4452	1.7094e-01	0.2774	0.524	1481.08	56.260	3.7380	7.347132
08 47	14.145	8.7249	31.5379	24.4498	1.7094e-01	0.2774	0.524	1481.16	56.256	3.7359	7.347133
08 47	14.181	8.7554	31.5504	24.4550	1.7094e-01	0.2737	0.527	1481.29	56.255	3.7330	7.347133
08 47	14.181	8.7912	31.5608	24.4577	1.7094e-01	0.2737	0.531	1481.44	56.254	3.7297	7.347133
08 47	14.216	8.8316	31.5671	24.4566	1.7094e-01	0.2725	0.531	1481.60	56.246	3.7256	7.347134
08 47	14.241	8.8678	31.6060	24.4815	1.7094e-01	0.2737	0.527	1481.78	56.243	3.7215	7.347134
08 47	14.255	8.9497	31.6752	24.5231	1.7094e-01	0.2737	0.531	1482.17	56.254	3.7138	7.347135
08 47	14.276	9.0426	31.6927	24.5226	1.7094e-01	0.2725	0.535	1482.54	56.265	3.7064	7.347135
08 47	14.312	9.0625	31.6505	24.4866	1.7094e-01	0.2713	0.535	1482.56	56.264	3.7057	7.347136
08 47	14.325	9.0389	31.6015	24.4519	1.7094e-01	0.2688	0.535	1482.41	56.316	3.7123	7.347136
08 47	14.336	9.0086	31.5952	24.4516	1.7094e-01	0.2713	0.538	1482.29	56.257	3.7111	7.347137
08 47	14.361	8.9972	31.6106	24.4654	1.7094e-01	0.2749	0.535	1482.27	56.315	3.7154	7.347137
08 47	14.386	8.9910	31.6238	24.4766	1.7094e-01	0.2762	0.531	1482.26	56.317	3.7158	7.347138
08 47	14.396	8.9825	31.6309	24.4835	1.7094e-01	0.2737	0.538	1482.24	56.323	3.7167	7.347138
08 47	14.407	8.9823	31.6361	24.4876	1.7094e-01	0.2713	0.542	1482.25	56.328	3.7169	7.347139
08 47	14.456	8.9912	31.6370	24.4869	1.7094e-01	0.2676	0.538	1482.28	56.331	3.7163	7.347139
08 47	14.456	9.0069	31.6407	24.4874	1.7094e-01	0.2688	0.538	1482.35	56.393	3.7190	7.347140
08 47	14.482	9.0297	31.6562	24.4961	1.7094e-01	0.2676	0.538	1482.45	56.397	3.7171	7.347140
08 47	14.503	9.0544	31.6581	24.4937	1.7094e-01	0.2676	0.538	1482.54	56.405	3.7155	7.347141
08 47	14.516	9.0552	31.6460	24.4842	1.7094e-01	0.2676	0.538	1482.53	56.467	3.7198	7.347141
08 47	14.563	9.0473	31.6529	24.4907	1.7094e-01	0.2676	0.538	1482.51	56.469	3.7204	7.347142
08 47	14.563	9.0450	31.6747	24.5081	1.7094e-01	0.2676	0.535	1482.53	56.475	3.7204	7.347142
08 47	14.576	9.0410	31.7426	24.5619	1.7094e-01	0.2701	0.527	1482.60	56.536	3.7232	7.347143
08 47	14.638	9.0978	31.7468	24.5564	1.7094e-01	0.2688	0.524	1482.82	56.551	3.7194	7.347143
08 47	14.634	9.1219	31.7227	24.5338	1.7094e-01	0.2688	0.524	1482.88	56.618	3.7224	7.347144
08 47	14.659	9.1146	31.7156	24.5294	1.7094e-01	0.2676	0.520	1482.84	56.621	3.7234	7.347144
08 47	14.659	9.1144	31.7257	24.5373	1.7094e-01	0.2676	0.520	1482.85	56.688	3.7275	7.347145
08 47	14.672	9.1288	31.7275	24.5365	1.7094e-01	0.2676	0.520	1482.91	56.694	3.7267	7.347145
08 47	14.757	9.1445	31.7183	24.5269	1.7094e-01	0.2652	0.520	1482.96	56.695	3.7257	7.347146
08 47	14.732	9.1431	31.6999	24.5127	1.7094e-01	0.2664	0.524	1482.93	56.754	3.7301	7.347146
08 47	14.778	9.1271	31.6797	24.4994	1.7094e-01	0.2652	0.516	1482.84	56.758	3.7322	7.347147
08 47	14.803	9.1024	31.6692	24.4950	1.7094e-01	0.2664	0.516	1482.74	56.815	3.7382	7.347147
08 47	14.829	9.0905	31.6846	24.5089	1.7094e-01	0.2676	0.513	1482.72	56.818	3.7391	7.347147
08 47	14.850	9.1044	31.7187	24.5334	1.7094e-01	0.2664	0.516	1482.81	56.815	3.7369	7.347148
08 47	14.850	9.1370	31.7147	24.5252	1.7094e-01	0.2664	0.516	1482.93	56.873	3.7381	7.347148
08 47	14.898	9.1424	31.7272	24.5342	1.7094e-01	0.2664	0.513	1482.96	56.874	3.7374	7.347149
08 47	14.910	9.1584	31.7453	24.5458	1.7094e-01	0.2664	0.509	1483.04	56.928	3.7391	7.347149
08 47	14.937	9.1817	31.7570	24.5514	1.7094e-01	0.2664	0.509	1483.14	56.926	3.7368	7.347150
08 47	14.970	9.2062	31.7607	24.5504	1.7094e-01	0.2639	0.513	1483.24	56.915	3.7340	7.347150
08 47	15.005	9.2151	31.7576	24.5467	1.7094e-01	0.2615	0.516	1483.27	56.900	3.7324	7.347151
08 47	14.994	9.2160	31.7434	24.5353	1.7094e-01	0.2603	0.520	1483.26	56.944	3.7355	7.347151
08 47	15.033	9.2117	31.7277	24.5237	1.7094e-01	0.2627	0.520	1483.22	56.931	3.7354	7.347152
08 47	15.043	9.1957	31.7127	24.5145	1.7094e-01	0.2615	0.520	1483.14	56.907	3.7355	7.347152
08 47	15.078	9.1739	31.7228	24.5259	1.7094e-01	0.2615	0.524	1483.08	56.935	3.7389	7.347153
08 47	15.090	9.1882	31.7736	24.5633	1.7094e-01	0.2627	0.527	1483.19	56.906	3.7346	7.347153
08 47	15.115	9.2276	31.8092	24.5850	1.7094e-01	0.2627	0.527	1483.38	56.883	3.7290	7.347154
08 47	15.149	9.2407	31.7931	24.5704	1.7094e-01	0.2627	0.524	1483.41	56.909	3.7300	7.347154
08 47	15.161	9.2443	31.7758	24.5562	1.7094e-01	0.2627	0.524	1483.40	56.877	3.7280	7.347155
08 47	15.185	9.2482	31.7765	24.5562	1.7094e-01	0.2591	0.520	1483.42	56.841	3.7253	7.347155
08 47	15.211	9.2424	31.7725	24.5540	1.7094e-01	0.2603	0.531	1483.39	56.801	3.7233	7.347156
08 47	15.234	9.2327	31.7658	24.5503	1.7094e-01	0.2627	0.546	1483.35	56.818	3.7253	7.347156
08 47	15.245	9.2250	31.7569	24.5445	1.7094e-01	0.2627	0.542	1483.31	56.777	3.7235	7.347157
08 47	15.281	9.2163	31.7524	24.5423	1.7094e-01	0.2639	0.535	1483.27	56.794	3.7254	7.347157
08 47	15.308	9.2140	31.7527	24.5430	1.7094e-01	0.2652	0.527	1483.26	56.691	3.7188	7.347158
08 47	15.329	9.2123	31.7521	24.5427	1.7094e-01	0.2639	0.524	1483.26	56.638	3.7155	7.347158
08 47	15.365	9.2089	31.7498	24.5415	1.7094e-01	0.2615	0.520	1483.24	56.581	3.7121	7.347159
08 47	15.341	9.2129	31.7406	24.5336	1.7094e-01	0.2578	0.516	1483.25	56.521	3.7080	7.347159
08 47	15.427	9.2184	31.7391	24.5316	1.7094e-01	0.2566	0.516	1483.27	56.518	3.7074	7.347160
08 47	15.425	9.2458	31.7497	24.5357	1.7094e-01	0.2578	0.516	1483.38	56.403	3.6974	7.347160
08 47	15.461	9.2732	31.7489	24.5307	1.7094e-01	0.2578	0.520	1483.48	56.393	3.6945	7.347160
08 47	15.462	9.2676	31.7560	24.5372	1.7094e-01	0.2566	0.524	1483.47	56.330	3.6907	7.347161
08 47	15.496	9.2597	31.7669	24.5469	1.7094e-01	0.2566	0.527	1483.45	56.263	3.6867	7.347161
08 47	15.496	9.2582	31.7778	24.5557	1.7094e-01	0.2554	0.527	1483.46	56.192	3.6819	7.347162
08 47	15.545	9.2627	31.7860	24.5613	1.7094e-01	0.2554	0.524	1483.49	56.118	3.6765	7.347162
08 47	15.558	9.2597	31.7795	24.5567	1.7094e-01	0.2578	0.524	1483.47	56.100	3.6757	7.347163
08 47	15.592	9.2465	31.7747	24.5550	1.7094e-01	0.2566	0.524	1483.42	56.031	3.6724	7.347163
08 47	15.616	9.2478	31.7771	24.5567	1.7094e-01	0.2542	0.524	1483.42	55.958	3.6674	7.347164
08 47	15.618	9.2504	31.7867	24.5638	1.7094e-01	0.2554	0.520	1483.45	55.820	3.6580	7.347164
08 47	15.640	9.2573	31.7984	24.5719	1.7094e-01	0.2542	0.520	1483.49	55.741	3.6519	7.347165
08 47	15.676	9.2667	31.8025	24.5737	1.7094e-01	0.2578	0.520	1483.53	55.658	3.6456	7.347165
08 47	15.691	9.2745	31.8099	24.5782	1.7094e-01	0.2542	0.520	1483.56	55.571	3.6392	7.347166
08 47	15.712	9.2880	31.8226	24.5860	1.7094e-01	0.2542	0.520	1483.63	55.550	3.6364	7.347166
08 47	15.723	9.2944	31.8176	24.5811	1.7094e-01	0.2542	0.516	1483.65	55.409	3.6268	7.347167
08 47	15.762	9.2804	31.7995	24.5691	1.7094e-01	0.2530	0.513	1483.57	55.326	3.6229	7.347167
08 47	15.783	9.2755	31.7919	24.5639	1.7094e-01	0.2517	0.516	1483.55	55.240	3.6178	7.347168
08 47	15.796	9.2725	31.7952	24.5670	1.7094e-01	0.2481	0.524	1483.54	55.159	3.6126	7.347168
08 47	15.807	9.2716	31.8063	24.5758	1.7094e-01	0.2481	0.524	1483.55	55.014	3.6030	7.347169
08 47	15.846	9.2697	31.8182	24.5855	1.7094e-01	0.2505	0.520	1483.56	54.982	3.6008	7.347169
08 47	15.843	9.2696	31.8197	24.5866	1.7094e-01	0.2505	0.524	1483.56	54.900	3.5954	7.347170
08 47	15.879	9.2633	31.8169	24.5854	1.7094e-01	0.2481	0.524	1483.54	54.816	3.5904	7.347170
08 47	15.904	9.2533	31.8050	24.5777	1.7094e-01	0.2493	0.524	1483.48	54.675	3.5823	7.347171
08 47	15.903	9.2371	31.7854	24.5649	1.7094e-01	0.2493	0.524	1483.40	54.587	3.5782	7.347171
08 47	15.927	9.2177	31.7603	24.5483	1.7094e-01	0.2493	0.524	1483.30	54.435	3.5704	7.347172
08 47	15.942	9.1830	31.7454	24.5421	1.7094e-01	0.2493	0.524	1483.15	54.342	3.5674	7.347172
08 47	15.963	9.1541	31.7213	24.5277	1.7094e-01	0.2493	0.524	1483.02	54.248	3.5640	7.347173
08 47	15.987	9.1217	31.6851	24.5044	1.7094e-01	0.2505	0.520	1482.85	54.160	3.5616	7.347173
08 47	16.002	9.0857	31.6736	24.5010	1.7094e-01	0.2505	0.520	1482.70	54.009	3.5548	7.347174
08 47	16.023	9.0599	31.7007	24.5261	1.7094e-01	0.2505	0.520	1482.64	53.913	3.5499	7.347174
08 47	16.034	9.0741	31.7351	24.5509	1.7094e-01	0.2481	0.520	1482.74	53.820	3.5419	7.347174
08 47	16.049	9.0972	31.7518	24.5603	1.7094e-01	0.2481	0.524	1482.84	53.673	3.5300	7.347175
08 47	16.058	9.1209	31.7725	24.5729	1.7094e-01	0.2481	0.524	1482.96	53.580	3.5216	7.347175
08 47	16.083	9.1392	31.7817	24.5772	1.7094e-01	0.2456	0.524	1483.04	53.487	3.5138	7.347176
08 47	16.109	9.1494	31.8047	24.5936	1.7094e-01	0.2481	0.524	1483.10	53.339	3.5028	7.347176
08 47	16.131	9.1937	31.8285	24.6053	1.7094e-01	0.2469	0.527	1483.30	53.250	3.4930	7.347177
08 47	16.131	9.2142	31.8357	24.6078	1.7094e-01	0.2456	0.531	1483.38	53.097	3.4812	7.347177
08 47	16.169	9.2096	31.8333	24.6067	1.7094e-01	0.2444	0.527	1483.36	53.005	3.4756	7.347178
08 47	16.154	9.2116	31.8292	24.6031	1.7094e-01	0.2456	0.527	1483.36	52.853	3.4656	7.347178
08 47	16.193	9.2062	31.8128	24.5911	1.7094e-01	0.2456	0.527	1483.32	52.756	3.4600	7.347179
08 47	16.227	9.1854	31.8095	24.5918	1.7094e-01	0.2432	0.524	1483.24	52.598	3.4513	7.347179
08 47	16.227	9.1796	31.8249	24.6047	1.7094e-01	0.2420	0.524	1483.24	52.505	3.4452	7.347180
08 47	16.251	9.1539	31.8429	24.6228	1.7094e-01	0.2420	0.524	1483.17	52.350	3.4366	7.347180
08 47	16.263	9.1078	31.8282	24.6185	1.7094e-01	0.2395	0.527	1482.98	52.195	3.4303	7.347181
08 47	16.287	9.0892	31.7890	24.5907	1.7094e-01	0.2420	0.524	1482.86	52.093	3.4259	7.347181
08 47	16.288	9.0947	31.7540	24.5625	1.7094e-01	0.2432	0.527	1482.84	51.997	3.4199	7.347182
08 47	16.310	9.0929	31.7532	24.5621	1.7094e-01	0.2420	0.524	1482.83	51.841	3.4098	7.347182
08 47	16.345	9.1199	31.7874	24.5847	1.7094e-01	0.2432	0.527	1482.98	51.685	3.3968	7.347183
08 47	16.348	9.1795	31.8311	24.6096	1.7094e-01	0.2395	0.531	1483.25	51.597	3.3856	7.347183
